Attacker No.,Database,Time Entered,Time Spent,Commands Run,Modification Attempts,Database (Avgs),Avg Time Connected,Avg Commands Run,Avg File Modifications
0,4,2022-10-20 18:46:33.589,0.012,0,0,1,0.09703389830508471,0.0,0.0
1,2,2022-10-20 18:57:23.596,-0.592,0,0,2,-0.1986716417910448,0.0,0.0
2,4,2022-10-20 18:57:23.597,-0.548,0,0,3,-0.014302325581395338,0.0,0.0
3,3,2022-10-20 18:57:23.597,-0.236,0,0,4,-0.14127083333333332,0.0,0.0
4,4,2022-10-20 18:57:23.598,-0.229,0,0,,,,
5,1,2022-10-20 18:57:23.598,-0.004,0,0,,,,
6,2,2022-10-20 18:57:23.599,0.318,0,0,,,,
7,2,2022-10-20 18:57:23.599,0.313,0,0,,,,
8,3,2022-10-20 18:57:23.600,-0.379,0,0,,,,
9,1,2022-10-20 18:57:23.601,0.31,0,0,,,,
10,4,2022-10-20 18:57:23.601,0.344,0,0,,,,
11,2,2022-10-20 18:57:23.602,0.05,0,0,,,,
12,4,2022-10-20 18:57:23.603,0.054,0,0,,,,
13,3,2022-10-20 18:57:23.603,-0.675,0,0,,,,
14,1,2022-10-20 18:57:23.612,0.324,0,0,,,,
15,4,2022-10-20 18:57:23.612,-0.117,0,0,,,,
16,2,2022-10-20 18:57:23.612,-0.116,0,0,,,,
17,2,2022-10-20 18:57:23.612,-0.058,0,0,,,,
18,3,2022-10-20 18:57:23.613,-0.058,0,0,,,,
19,3,2022-10-20 18:57:29.597,-0.057,0,0,,,,
20,2,2022-10-20 19:07:03.351,-0.055,0,0,,,,
21,4,2022-10-20 19:10:29.185,-0.055,0,0,,,,
22,2,2022-10-20 19:21:39.054,-0.022,0,0,,,,
23,1,2022-10-20 19:22:17.621,-0.02,0,0,,,,
24,2,2022-10-20 19:22:17.623,-0.019,0,0,,,,
25,2,2022-10-20 19:22:17.623,-0.003,0,0,,,,
26,2,2022-10-20 19:22:17.624,-0.001,0,0,,,,
27,4,2022-10-20 19:22:17.625,0.002,0,0,,,,
28,4,2022-10-20 19:22:17.625,0.316,0,0,,,,
29,4,2022-10-20 19:22:17.625,-0.182,0,0,,,,
30,3,2022-10-20 19:22:17.626,0.452,0,0,,,,
31,4,2022-10-20 19:22:17.626,-0.553,0,0,,,,
32,1,2022-10-20 19:22:17.626,0.062,0,0,,,,
33,2,2022-10-20 19:22:17.627,0.063,0,0,,,,
34,4,2022-10-20 19:22:17.627,-0.82,0,0,,,,
35,3,2022-10-20 19:22:17.628,-0.813,0,0,,,,
36,4,2022-10-20 19:22:17.639,-0.813,0,0,,,,
37,2,2022-10-20 19:22:17.639,-0.807,0,0,,,,
38,1,2022-10-20 19:22:17.737,-0.804,0,0,,,,
39,2,2022-10-20 19:22:18.583,-0.804,0,0,,,,
40,3,2022-10-20 19:22:18.625,-0.796,0,0,,,,
41,1,2022-10-20 19:22:18.626,-0.788,0,0,,,,
42,3,2022-10-20 19:22:18.627,-0.786,0,0,,,,
43,1,2022-10-20 20:03:33.616,-0.783,0,0,,,,
44,4,2022-10-21 00:07:23.503,-0.783,0,0,,,,
45,4,2022-10-21 00:07:25.504,-0.779,0,0,,,,
46,4,2022-10-21 00:07:25.504,-0.778,0,0,,,,
47,1,2022-10-21 00:07:25.515,-0.777,0,0,,,,
48,2,2022-10-21 00:07:25.538,-0.777,0,0,,,,
49,2,2022-10-21 00:09:43.479,-0.776,0,0,,,,
50,4,2022-10-21 00:09:43.510,-0.776,0,0,,,,
51,4,2022-10-21 00:09:43.511,0,0,0,,,,
52,4,2022-10-21 00:09:43.511,0,0,0,,,,
53,1,2022-10-21 00:09:43.512,-0.562,0,0,,,,
54,3,2022-10-21 00:09:43.512,-0.331,0,0,,,,
55,1,2022-10-21 00:09:43.514,0.149,0,0,,,,
56,1,2022-10-21 00:09:43.514,0.178,0,0,,,,
57,1,2022-10-21 00:09:43.515,0.249,0,0,,,,
