Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Avg Time Connected,Avg Commands Run,Avg File Modifications
0,4,2022-10-20 18:46:33.589,0.012,0,0,2022-10-20-1846_DATABASE_4_log,1,0.3167966101694916,0.04600484261501211,0.0
1,2,2022-10-20 18:57:23.596,-0.592,0,0,2022-10-20-1857_DATABASE_2_log,2,0.34615950920245414,0.8834355828220859,0.8957055214723927
2,4,2022-10-20 18:57:23.597,-0.548,0,0,2022-10-20-1907_DATABASE_4_log,3,0.2849060402684564,0.0,0.0
3,3,2022-10-20 18:57:23.597,-0.236,0,0,2022-10-20-1910_DATABASE_3_log,4,0.2835341614906834,0.0,0.0
4,4,2022-10-20 18:57:23.598,-0.229,0,0,2022-10-20-1921_DATABASE_4_log,,,,
5,1,2022-10-20 18:57:23.598,-0.004,0,0,2022-10-20-1922_DATABASE_1_log,,,,
6,2,2022-10-20 18:57:23.599,0.318,0,0,2022-10-20-2003_DATABASE_2_log,,,,
7,2,2022-10-20 18:57:23.599,0.313,0,0,2022-10-21-0007_DATABASE_2_log,,,,
8,3,2022-10-20 18:57:23.600,-0.379,0,0,2022-10-21-0009_DATABASE_3_log,,,,
9,1,2022-10-20 18:57:23.601,0.31,0,0,2022-10-21-0028_DATABASE_1_log,,,,
10,4,2022-10-20 18:57:23.601,0.344,0,0,2022-10-21-0029_DATABASE_4_log,,,,
11,2,2022-10-20 18:57:23.602,0.05,0,0,2022-10-21-0048_DATABASE_2_log,,,,
12,4,2022-10-20 18:57:23.603,0.054,0,0,2022-10-21-0053_DATABASE_4_log,,,,
13,3,2022-10-20 18:57:23.603,-0.675,0,0,2022-10-21-0101_DATABASE_3_log,,,,
14,1,2022-10-20 18:57:23.612,0.324,0,0,2022-10-21-0102_DATABASE_1_log,,,,
15,4,2022-10-20 18:57:23.612,-0.117,0,0,2022-10-21-0102_DATABASE_4_log,,,,
16,2,2022-10-20 18:57:23.612,-0.116,0,0,2022-10-21-0105_DATABASE_2_log,,,,
