Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Total # Attackers,# Relevant Attackers,Avg Time Connected,Avg Commands Run,Avg File Modifications
0,4,46:33.6,0.012,0,0,2022-10-20-1846_DATABASE_4_log,1,1180,618,0.312325243,0.145631068,0.118122977
1,2,57:23.6,-0.592,0,0,2022-10-20-1857_DATABASE_2_log,2,398,201,0.316094527,0.721393035,0.726368159
2,4,57:23.6,-0.548,0,0,2022-10-20-1907_DATABASE_4_log,3,682,392,0.313739796,0,0
3,3,57:23.6,-0.236,0,0,2022-10-20-1910_DATABASE_3_log,4,1360,758,0.259424802,0.001319261,0
4,4,57:23.6,-0.229,0,0,2022-10-20-1921_DATABASE_4_log,,,,,,
5,1,57:23.6,-0.004,0,0,2022-10-20-1922_DATABASE_1_log,,,,,,
6,2,57:23.6,0.318,0,0,2022-10-20-2003_DATABASE_2_log,,,,,,
7,2,57:23.6,0.313,0,0,2022-10-21-0007_DATABASE_2_log,,,,,,
8,3,57:23.6,-0.379,0,0,2022-10-21-0009_DATABASE_3_log,,,,,,
9,1,57:23.6,0.31,0,0,2022-10-21-0028_DATABASE_1_log,,,,,,
10,4,57:23.6,0.344,0,0,2022-10-21-0029_DATABASE_4_log,,,,,,
11,2,57:23.6,0.05,0,0,2022-10-21-0048_DATABASE_2_log,,,,,,
12,4,57:23.6,0.054,0,0,2022-10-21-0053_DATABASE_4_log,,,,,,
13,3,57:23.6,-0.675,0,0,2022-10-21-0101_DATABASE_3_log,,,,,,
14,1,57:23.6,0.324,0,0,2022-10-21-0102_DATABASE_1_log,,,,,,
15,4,57:23.6,-0.117,0,0,2022-10-21-0102_DATABASE_4_log,,,,,,
16,2,57:23.6,-0.116,0,0,2022-10-21-0105_DATABASE_2_log,,,,,,
17,2,57:23.6,-0.058,0,0,2022-10-21-0106_DATABASE_2_log,,,,,,
18,3,57:23.6,-0.058,0,0,2022-10-21-0110_DATABASE_3_log,,,,,,
19,3,57:29.6,-0.057,0,0,2022-10-21-0114_DATABASE_3_log,,,,,,
20,2,07:03.4,-0.055,0,0,2022-10-21-0118_DATABASE_2_log,,,,,,
